date,change
2001-01-23 00:00:00+00:00,0.013031499
2001-01-24 00:00:00+00:00,0.002866822
2001-01-25 00:00:00+00:00,-0.00497694
2001-01-26 00:00:00+00:00,-0.001885849
2001-01-29 00:00:00+00:00,0.006804748
2001-01-30 00:00:00+00:00,0.007007877
2001-01-31 00:00:00+00:00,-0.005619715
2001-02-01 00:00:00+00:00,0.005461132
2001-02-02 00:00:00+00:00,-0.01747399
2001-02-05 00:00:00+00:00,0.003586658
2001-02-06 00:00:00+00:00,-0.001513722
2001-02-07 00:00:00+00:00,-0.008408143
2001-02-08 00:00:00+00:00,-0.006234654
2001-02-09 00:00:00+00:00,-0.013335549
2001-02-12 00:00:00+00:00,0.011827291
2001-02-13 00:00:00+00:00,-0.008652126
2001-02-14 00:00:00+00:00,-0.002183807
2001-02-15 00:00:00+00:00,0.008123549
2001-02-16 00:00:00+00:00,-0.018905297
2001-02-20 00:00:00+00:00,-0.017356563
2001-02-21 00:00:00+00:00,-0.018507454
2001-02-22 00:00:00+00:00,-0.00195183
2001-02-23 00:00:00+00:00,-0.005555436
2001-02-26 00:00:00+00:00,0.017489958
2001-02-27 00:00:00+00:00,-0.007659908
2001-02-28 00:00:00+00:00,-0.014309109
2001-03-01 00:00:00+00:00,0.001040404
2001-03-02 00:00:00+00:00,-0.005679791
2001-03-05 00:00:00+00:00,0.005858125
2001-03-06 00:00:00+00:00,0.009980598
2001-03-07 00:00:00+00:00,0.006452357
2001-03-08 00:00:00+00:00,0.002258498
2001-03-09 00:00:00+00:00,-0.024763941
2001-03-12 00:00:00+00:00,-0.043180756
2001-03-13 00:00:00+00:00,0.014828497
2001-03-14 00:00:00+00:00,-0.025842119
2001-03-15 00:00:00+00:00,0.005871294
2001-03-16 00:00:00+00:00,-0.019624074
2001-03-19 00:00:00+00:00,0.017626684
2001-03-20 00:00:00+00:00,-0.024077401
2001-03-21 00:00:00+00:00,-0.017923702
2001-03-22 00:00:00+00:00,-0.004063716
2001-03-23 00:00:00+00:00,0.01990909
2001-03-26 00:00:00+00:00,0.011282372
2001-03-27 00:00:00+00:00,0.02557505
2001-03-28 00:00:00+00:00,-0.024429654
2001-03-29 00:00:00+00:00,-0.004630308
2001-03-30 00:00:00+00:00,0.010784447
2001-04-02 00:00:00+00:00,-0.012461939
2001-04-03 00:00:00+00:00,-0.034393111
2001-04-04 00:00:00+00:00,-0.002901109
2001-04-05 00:00:00+00:00,0.043679983
2001-04-06 00:00:00+00:00,-0.019983576
2001-04-09 00:00:00+00:00,0.008117395
2001-04-10 00:00:00+00:00,0.027066026
2001-04-11 00:00:00+00:00,-0.002131148
2001-04-12 00:00:00+00:00,0.015104328
2001-04-16 00:00:00+00:00,-0.003227669
2001-04-17 00:00:00+00:00,0.010282453
2001-04-18 00:00:00+00:00,0.038890405
2001-04-19 00:00:00+00:00,0.01254273
2001-04-20 00:00:00+00:00,-0.008542751
2001-04-23 00:00:00+00:00,-0.014980125
2001-04-24 00:00:00+00:00,-0.012161468
2001-04-25 00:00:00+00:00,0.015940891
2001-04-26 00:00:00+00:00,0.004695845
2001-04-27 00:00:00+00:00,0.015009906
2001-04-30 00:00:00+00:00,-0.002865079
2001-05-01 00:00:00+00:00,0.013589856
2001-05-02 00:00:00+00:00,0.000781808
